t_s,bpm
957.35,3000.0
957.368,3333.3333333333335
957.388,3000.0
957.41,2727.2727272727275
957.43,3000.0
957.446,3750.0
957.468,2727.2727272727275
957.488,3000.0
957.51,2727.2727272727275
957.53,3000.0
957.55,3000.0
957.556,10000.0
957.57,4285.714285714285
957.592,2727.2727272727275
957.61,3333.3333333333335
957.63,3000.0
957.648,3333.3333333333335
957.668,3000.0
957.688,3000.0
957.708,3000.0
957.73,2727.2727272727275
957.744,4285.714285714285
957.77,2307.6923076923076
957.804,1764.705882352941
957.83,2307.6923076923076
957.848,3333.3333333333335
957.87,2727.2727272727275
957.888,3333.3333333333335
957.91,2727.2727272727275
957.928,3333.3333333333335
957.948,3000.0
957.968,3000.0
957.99,2727.2727272727275
958.008,3333.3333333333335
958.028,3000.0
958.05,2727.2727272727275
958.068,3333.3333333333335
958.09,2727.2727272727275
958.108,3333.3333333333335
958.128,3000.0
958.148,3000.0
958.168,3000.0
958.188,3000.0
958.208,3000.0
958.228,3000.0
958.25,2727.2727272727275
958.27,3000.0
958.29,3000.0
958.31,3000.0
958.328,3333.3333333333335
958.348,3000.0
958.37,2727.2727272727275
958.386,3750.0
958.41,2500.0
958.43,3000.0
958.468,1578.9473684210527
958.488,3000.0
958.506,3333.3333333333335
958.528,2727.2727272727275
958.548,3000.0
958.568,3000.0
958.59,2727.2727272727275
958.608,3333.3333333333335
958.628,3000.0
958.65,2727.2727272727275
958.67,3000.0
958.69,3000.0
958.708,3333.3333333333335
958.728,3000.0
958.748,3000.0
958.768,3000.0
958.788,3000.0
958.808,3000.0
958.83,2727.2727272727275
958.848,3333.3333333333335
958.868,3000.0
958.888,3000.0
958.908,3000.0
958.928,3000.0
958.948,3000.0
958.968,3000.0
958.99,2727.2727272727275
959.008,3333.3333333333335
959.028,3000.0
959.046,3333.3333333333335
959.068,2727.2727272727275
959.09,2727.2727272727275
959.106,3750.0
959.132,2307.6923076923076
959.148,3750.0
959.168,3000.0
959.19,2727.2727272727275
959.208,3333.3333333333335
959.226,3333.3333333333335
959.248,2727.2727272727275
959.27,2727.2727272727275
959.29,3000.0
959.31,3000.0
959.328,3333.3333333333335
959.35,2727.2727272727275
959.37,3000.0
959.388,3333.3333333333335
959.41,2727.2727272727275
959.426,3750.0
959.446,3000.0
959.468,2727.2727272727275
959.488,3000.0
959.51,2727.2727272727275
959.528,3333.3333333333335
959.548,3000.0
959.568,3000.0
959.588,3000.0
959.608,3000.0
959.628,3000.0
959.648,3000.0
959.67,2727.2727272727275
959.686,3750.0
959.71,2500.0
959.726,3750.0
959.744,3333.3333333333335
959.782,1578.9473684210527
959.808,2307.6923076923076
959.83,2727.2727272727275
959.85,3000.0
959.87,3000.0
959.886,3750.0
959.908,2727.2727272727275
959.93,2727.2727272727275
959.948,3333.3333333333335
959.966,3333.3333333333335
959.988,2727.2727272727275
960.01,2727.2727272727275
960.028,3333.3333333333335
960.046,3333.3333333333335
960.066,3000.0
960.088,2727.2727272727275
960.106,3333.3333333333335
960.126,3000.0
960.148,2727.2727272727275
960.168,3000.0
960.188,3000.0
960.208,3000.0
960.226,3333.3333333333335
960.246,3000.0
960.27,2500.0
960.288,3333.3333333333335
960.31,2727.2727272727275
960.326,3750.0
960.348,2727.2727272727275
960.37,2727.2727272727275
960.384,4285.714285714285
960.408,2500.0
960.426,3333.3333333333335
960.446,3000.0
960.47,2500.0
960.508,1578.9473684210527
960.53,2727.2727272727275
960.548,3333.3333333333335
960.568,3000.0
960.588,3000.0
960.608,3000.0
960.63,2727.2727272727275
960.648,3333.3333333333335
960.668,3000.0
960.686,3333.3333333333335
960.706,3000.0
960.726,3000.0
960.75,2500.0
960.768,3333.3333333333335
960.79,2727.2727272727275
960.808,3333.3333333333335
960.826,3333.3333333333335
960.848,2727.2727272727275
960.868,3000.0
960.888,3000.0
960.906,3333.3333333333335
960.928,2727.2727272727275
960.948,3000.0
960.968,3000.0
960.986,3333.3333333333335
961.006,3000.0
961.03,2500.0
961.05,3000.0
961.07,3000.0
961.088,3333.3333333333335
961.108,3000.0
961.126,3333.3333333333335
961.146,3000.0
961.186,1500.0
961.206,3000.0
961.228,2727.2727272727275
961.246,3333.3333333333335
961.266,3000.0
961.29,2500.0
961.308,3333.3333333333335
961.328,3000.0
961.344,3750.0
961.366,2727.2727272727275
961.386,3000.0
961.406,3000.0
961.428,2727.2727272727275
961.448,3000.0
961.466,3333.3333333333335
961.488,2727.2727272727275
961.506,3333.3333333333335
961.528,2727.2727272727275
961.548,3000.0
961.568,3000.0
961.588,3000.0
961.608,3000.0
961.628,3000.0
961.648,3000.0
961.668,3000.0
961.688,3000.0
961.71,2727.2727272727275
961.726,3750.0
961.746,3000.0
961.768,2727.2727272727275
961.788,3000.0
961.812,2500.0
961.846,1764.705882352941
961.87,2500.0
961.888,3333.3333333333335
961.908,3000.0
961.926,3333.3333333333335
961.948,2727.2727272727275
961.968,3000.0
961.986,3333.3333333333335
962.006,3000.0
962.028,2727.2727272727275
962.046,3333.3333333333335
962.068,2727.2727272727275
962.086,3333.3333333333335
962.108,2727.2727272727275
962.128,3000.0
962.146,3333.3333333333335
962.17,2500.0
962.188,3333.3333333333335
962.206,3333.3333333333335
962.228,2727.2727272727275
962.248,3000.0
962.266,3333.3333333333335
962.288,2727.2727272727275
962.308,3000.0
962.328,3000.0
962.348,3000.0
962.368,3000.0
962.388,3000.0
962.408,3000.0
962.426,3333.3333333333335
962.448,2727.2727272727275
962.468,3000.0
962.488,3000.0
962.532,1363.6363636363637
962.548,3750.0
962.562,4285.714285714285
962.882,187.5
962.892,6000.0
962.968,789.4736842105264
962.98,5000.0
962.988,7500.0
963.006,3333.3333333333335
963.028,2727.2727272727275
963.048,3000.0
963.066,3333.3333333333335
963.088,2727.2727272727275
963.106,3333.3333333333335
963.126,3000.0
963.148,2727.2727272727275
963.166,3333.3333333333335
963.186,3000.0
963.208,2727.2727272727275
963.228,3000.0
963.266,1578.9473684210527
963.288,2727.2727272727275
963.306,3333.3333333333335
963.326,3000.0
963.344,3333.3333333333335
